Droplet-Film model,PySINDY model,XGBoost model,Liquid film model,Liquid droplet model,,Qcr,Well status,Qlattice model,,TabPFN model,Test flow rate
20114.084069545384,18721.50946231655,19295.705,0.000855365,70847.57587126455,,17463.00330426616,Unloaded,65451.35608821162,,12072.3,55019.63372
49881.09948106956,35376.85008123824,46374.027,0.001667064,212806.7873579927,,46898.71593080952,Unloaded,65482.63287002837,,14544.261,68611.72028
51471.50753078594,40377.50688379296,12909.7295,0.002188351,135342.61201729992,,10419.5639177803,Unloaded,90957.15888817387,,22507.4,97296.68629
47775.212089157976,67423.24750261629,110789.37,0.002031225,119320.54141367237,,111044.09573454184,Unloaded,65768.03414,,64512.277,117231.7466
167464.3406,61025.74441210527,166651.88,0.001657348,41479.15265501663,,167389.66232583902,Unloaded,91739.32187697862,,130471.32,145435.3262
28870.71114688337,67641.56829782962,12090.94,0.001227403,71001.00127374922,,9275.058085473367,Unloaded,66268.46374894603,,14142.815,83223.21333
53631.51661306197,59541.444187135494,52921.16,0.000665844,62965.26372,,53263.74429392501,Unloaded,66389.66155255516,,15362.2295,45193.68781
365684.1115,389837.2669017599,362819.44,0.000375412,9029.981025870775,,365692.5666367797,Loaded,342514.8921156435,,359962.72,109387.98
83842.10949634343,591005.9840231722,304933.47,0.000481582,21420.650655688783,,83927.40983967416,Unloaded,344473.64371269656,,352507.06,85630.14533
33268.240773472055,68599.06257633274,13568.073,0.001414466,43801.38614,,11583.4690231013,Unloaded,93228.76025221628,,12791.151,110917.0897
35708.064621224876,152397.4732,37237.832,0.001518219,32982.06223597358,,10606.592246855327,Unloaded,150457.5992248314,,116848.414,99590.3509
76987.27079894659,68913.34336255811,77081.78,0.002022527,66080.24517,,75773.035298521,Unloaded,151624.4816989248,,35227.027,94889.7543
287523.5407198587,216222.3578,282537.2,0.001103872,27461.048368960503,,287581.60245272133,Loaded,153714.41942589448,,245889.84,72123.00931
203913.26363682645,151916.3485861006,203097.31,0.00126668,39109.69769116579,,203928.21245993985,Questionable,154289.1524025527,,238797.88,70877.06804
250019.28152200065,262405.1694187552,248054.42,0.001787629,25456.18102432838,,251136.87366607285,Questionable,231395.93758283323,,250263.72,115957.4885
219213.31815234432,269156.5955483616,217761.56,0.001561435,26552.98318391259,,219890.3804751988,Questionable,231835.96262865706,,263237.2,92426.18861
213652.88213874967,162350.71478148253,211658.95,0.001450095,40337.880825992666,,212926.47555468007,Questionable,155769.5249252424,,229825.38,82543.60901
247888.21698073528,197752.23047544184,246154.08,0.001066194,32034.984707971067,,247710.6026516232,Loaded,155908.8546496618,,254795.56,64024.39107
312798.2209254155,333130.2965984278,308118.97,0.001184228,20862.180502562922,,312783.48540806473,Loaded,233156.03913708095,,287463.88,73935.28752
33738.23356473003,138828.46786477885,10918.987,0.001434394,56882.96489878263,,8295.700792464439,Unloaded,97805.24644554881,,9014.37,82855.09432
29354.48521344085,130381.78742276588,9195.55,0.001248007,49401.84676712338,,8243.575746579096,Unloaded,97979.98522140566,,15202.7295,78409.34934
32045.168305553383,105468.51100621247,9195.55,0.001362384,65342.12652,,7299.016494615306,Unloaded,98121.44014314385,,11972.378,72830.93048
141356.1500578965,147021.8327413142,141346.3,0.000932226,51625.15695350396,,141685.85603441732,Loaded,98562.44702985325,,191754.89,50743.78982
133152.6988564386,244570.84972487477,305804.3,0.000948318,33982.33541318277,,308458.0635478714,Loaded,159426.91696485458,,278854.88,51366.76046
193122.0976897444,83047.58673750826,191629.45,0.001556202,116815.23533915941,,192492.1813071152,Questionable,98820.39446882936,,180021.14,58587.55644
